,comments,label
7098,5g 요금제 너무 비싸서 데이터 무제한으로 약정걸어서 쓰면 한달에 8만원씩 들던데ㅠㅠ그럼 1년에 96만원이잖아요ㅠㅠㅠㅠㅠ너무비싸요,
7099,5G 터지지도 않으면서ㅠ,
7100,좀만 빨리나와주세요... 제가 핸드폰 1년반이 최대였는데 요번에 안바꾸고 다음에 나온걸로 산다고 버티고 버텨서.. 다음달이 할부 끝나는데ㅠㅠㅠ 왜 10월인가여ㅠㅠ 2달만 빨리 나와주세여ㅠㅠㅠ,
7101,5g쓰는데요 정작 5g 잡히면 잘 안 터져요 ㅋㅋㅋㅋㅋㅋㅋㅋ 빡쳐서 lte로 변경해야 사진 올라가고  그래요. 5g 왜 강요하는 건지 소비자에게 선택권을 줘야죠,
7102,kt 인터넷 관리나 똑바로 해... 이상한 곳으로 머리 굴릴 생각하지 말고,
7103,아니 ㅋㅋㅋㅋㅋㅋ 왜 5g 강요하는 건지...ㅋㅋㅋㅋㅋ 소비자에게 선택권은 없나요? 통신사들 정말 별로네요,
7104,5G 쓰고 있지만...속도감 다른 거 못 느껴요..ㅠㅠ,
7105,????? 도대체 왜????,
7106,why...?,
7107,휴 직구가 답이네요 갑니다,
7108,ㅋㅋㅋㅋㅋㅋㅋ게노답ㅋㅋㅋㅋㅋㅋ 5G 실용화 아직 멀은거 못느끼나 쓰는사람마다 신호 안잡혀서 더 느리다고 답답하다고 다 끄고사는데ㅋㅋㅋㅋ 선이나 많이 깔아놓고말해라,
7109,??? 저 아이폰인데 최저요금 써요ㅠㅠㅠ,
7110,....? 아니 LTE 요금제 아예 없애버린다더니??? 이걸???,
7111,갤s20플 쓰는데 일정기간 지나니까 엘티이 요금제로 변경 가능하다고 그러던데...아이폰도 그렇게 되는 거 아닐까요...?,
7112,5G 진짜 별론데... 지금 5G 되는 폰인데도 5G끄고 살아요 ㅌㅌㅌㅌㅌ,
7113,5G 학생요금도 없어서 딱 3개월간만 비싼 요금 내기로해서 꾸역 꾸역 쓰는데 진짜 잘 모르겠어요 심지어 학교같은데서 lte로 자동으로 바뀝니다ㅎㅎ,
7114,5G 딱히 빠른거 모르겠던데ㅠㅠ...,
7115,"아 뭐야,,,! 오바쟈나요ㅠㅠㅠ 0플랜 라지가 나한테 딱 좋은데ㅠㅠㅠ",
7116,왜 자기들 맘대로 우리 선택권을 빼앗는지 ㅜㅜ,
7117,......??????,
7118,5g폰이지만 끄고사는..ㅋㅋ,
7119,아니대체왜..,
7120,음,
7121,12는 보류,
7122,왜.. 나는 기대되는데 시대 맞춰서 살아야지ㅜ,
7123,Whyrano... whyrano...,
7124,ㅋㅋ... 도대체 삼성이나 애플이나.. 한국을 호구로 아는건지...ㄷㄷ 너무 화나네요,
7125,제발.. 왜이래요ㅠㅠㅠㅠ,
7126,텐에스 맛가기 직전이라 12로 갈아타려고 햇는데 저한테 왜이러세요....,
7127,한국이 호구네 호구야~,
7128,5g 선이라도 많이 깔고 말하든가~~~~~~~~~,
7129,엘티이 내놔 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 요금제 너무 비싸서 부담스러워요 진짜,
7130,왜 자국이든 외국이든 호구로 아는거야ㅠㅠ,
7131,어차피 저는 무제한 요금제 써서 상관없긴 한데 소비자의 선택의 폭을 줄여버리는 3사 통신사가 너무 괘씸하네요,
7132,한국에서 젤 잘팔리는줄알았는데..,
7133,와 진짜  너무하네ㅋㅋㄱ,
7134,❌❌❌❌❌애플이 한국에만 5g 하겟다 이거 아니고 국내 이동통신사 요구라고 본문에 적혀있음 결국에 소비자 등골에 빨대꼽는거❌❌❌❌❌,
7135,22222 애플이 아니라 통신사 때문입니다,
7136,5G 보급할거면 제대로 연결되게 해놓고 하던가 진짜 노답이네요,
7137,글 읽어보면 >이동통신사의 의견을 수용<이라고 적혀있는데 애플뿐만이 아니라 한국이통사도 한국을 호구로 보네요,
7138,도대체 이유가 무야,
7139,Whyrano.....,
7140,아 왜요,
7141,아 왜...,
7142,저는 싼 요금제만 쓰는디요...,
7143,엑 왜 lte안해주냐구요ㅠㅠㅠㅠ 그러 자급제로 폰만 사서 유심끼워도 lte는 안되는건가요ㅠㅠㅠ,
7144,아니용 저 5G 모델 자급제로 구매해서 유심 끼워서 lte 사용 중이에요~ 자급제는 가능해요!,
7145,오 자급제는 가능한가보네요ㅠㅠ 다행이네요 알려주셔서 감사합니다ㅎㅎ,
7146,통신사,
7147,대체 왜??,
7148,흠 그런데 자급제 사서 유심 바꿀 수 있지 않나요?? 굳이 5g 개통 안해두...ㅜㅜ 이렇게 살라고 했는데 아닌가요,
7149,우리나라 5G 되는곳 서울이랑 수도권밖에 없지않나요 ㅠㅠ,
7150,지방인데 대학가엔 설치 되어 있긴 해요 삼성 서비스센터였나 거기서 그러더라구용 실제로 학교에선 잡힌답니다..!,
7151,비싼 요금제 쓰게 하려고 쌩쇼를 한다ㅋㅋㅋ,
7152,직구각이다,
7153,띠용,
7154,아 짜증나.. 어차피 지방 살아서 쓸일도 없고 잘 되지도 않는거 요금만 더 내고 강제로 쓰게 만들어버리네ㅋㅋㅋ,
7155,이러면 안산다구요..퓨ㅠㅠ,
7156,차별하네,
7157,뭐하자는거요..,
7158,5g나온다고 해서 4g로 못쓰진 않아요 차별이긴 하다만 요금제 걱정이시면 5g쓸적에 4g로 바꿀거면 4g 공기 계만 있음 유심칩 왔다갔다 하면서 하몀 가능했긴 한데요.. 왜 애플 한국은 차별함 우리는 왜 엘티이 안내줌???,
7159,기사 보시면 아시겠지만 이동통신사의 의견을 반영한 결과이지 애플의 차별이 아닙니다!,
7160,ㅜㅜ웨요?! 5g요금제비싸요ㅠ,
7161,애플 한국 호구로보는거 한두번도 아니고 놀랍지도 않다ㅎ,
7162,윗댓 봐주세여,
7163,통신사 의견 때문이지 애플에서 독단적인 결정은 아닌 것 같아요,
7164,이동통신사 의견으로 3사 다 5G만 출시한다는게 주 내용인데 제목은 애플만 잘못하는 것 처럼 쓰여있네요,
7165,지금 5g요금제 써도 어차피 5g 지원 지역이 적어서 맨날 LTE로 바뀌던데 이건 개선 시켜주고 5g만 내겠다는 건가,
7166,12사랴고 기다리는 중이었는데... 왜...,
7167,오마이갓....,
7168,"오 안사요,,",
7169,근데 z flip 5G는 기기는 그대로이고 5g 버전인건가요 아니면 제트플립2 인건가요??,
7170,2는 아니고 스펙 약간 업글한 5g 전용버전입니다,
7171,아 감사합니다!!,
7172,엥 머야ㅠㅠㅠㅠ살라했는데..,
7173,통신사 쪽에서 다 그렇게 내기로 했네욤.... ㄴㅇㄱ,
7174,통신사 의견인데 기사는 무슨 애플 탓인마냥 ㅋㅋ,
7175,이통사 진짴ㅋㅋㅋㅋㅋㅋㅋ,
7176,^^......... 통신사,
7177,"이동통신사 의견 반영해서 LTE 모델은 한국에서 출시 안 하고 5G 모델만 출시한다고 하네요그 외 5G 모델만 출시 예정인 기기들삼성 : 갤럭시노트20 시리즈, 갤럭시폴드2, 갤럭시Z 플립 5GLG : 10월 신모델 윙https://www.instiz.net/pt/6757901애플만 하는 게 아니라 다른 스마트폰들도 다 그렇게 나오고 통신사 잘못이에요 내용을 잘 읽어봅시다",
7178,통신사가 고객들을 호구 취급하는거네요ㅠ,
7179,왜 니들이 갑질이야,
7180,통신사들 저러는거 진짜 싫다ㅠㅠㅠ,
7181,빨리 나와만 주세요,
7182,갑질 기분 나쁘긴 하네요 기기값도 비싼데 요금제까지 해먹으려고,
7183,"5g 잘 되지도 않는다고 들었는데 왜 이렇게 강행하는건가요,,,",
7184,??????,
7185,통신사 갑질 아닌가요 소비자가 선택하게 해야지자기들끼리 정해서 팔면 저희는 따라야하나요? 불합리한데,
7186,직구로 lte자급제폰사서 씁니다,
7187,"직구해야지 ,,,",
7188,네?,
7189,5g 별론데... 하...,
7190,직구 한다,
7191,공기계 사야지 허허,
7192,아... 그럼 나 못바꿔!!!!!!!!!,
7193,5g 전용 모델이어도 공기계 사서 유심 끼우면 lte 쓸 수 있나요?!,
7194,네 가능합니당,
7195,감사합니다! 그렇게 해야겠어요😳😳,
7196,5g 잘 안돼는데...🤦‍♀️,
7197,아니 .. 5g시대를 왤케 못열어 안달인지...,
7198,5G요금제 개통 후 LTE요금제로 변경하면 사용가능해용 아니면 그냥 LTE유심으로 유심기변 해두 되구여직구 해도 되고 방법은 많음... 요점은 저걸 '이동통신사'가 각 제조사에 이렇게 해달라고 요청한거죠자국민을 호구로 보는 기업들 대단하네요,
7199,5G 요금제에서 LTE 요금제로 못 바꾸지 않나요? 통신사에서 불가능하다고 안내하던데,
7200,에???어제 폰 샀는데 4개월만 5G쓰다가 엘티이로 바꾸는거 가능해요!,
7201,"뭐 lte폰 계속 써야겠어유5g사도 제대로 쓰지도 못하는데 돈 아깝,,이통사한테 일부러 돈 퍼줄 이유는 없죠",
7202,이통사 갑질 진짜 쩔어요...,
7203,아니 5g 제대로 쓸 수 있게 통신망을 제대로 구축해주던가요ㅠㅠㅠ,
7204,그럼 폰만 사고 유심 바꾸는거 안되는거예요 ? 폰만 살라했눈뎅 ㅠㅠ,
7205,아 왜,
7206,자급제도 4G 못사나요? 통신사 진짴ㅋㅋㅋㅋㅋㅋㅋ,
7207,폰 일시불로 사거나 직구하면 현재쓰던 유심 끼우면 lte 사용 가능 한거죠? 아 진짜 5G필요없는데ㅠㅠ,
7208,네네 자급제로 구매하고 쓰던 유심 끼우면 쓰던 요금제 그대로 사용 가능해요 !,
7209,알려주셔서 감사합니다ㅠㅠ!,
7210,이통사 갑질 짲응^^ 직구할게요^^,
7211,아니 우리동네는 5G 되지도 않는데 왜 그 요금제를 써야되냐고요 망이나 다 깔고 그런 의견 내세우시던가 거의 베짱장사네,
7212,놑9 오래가자...^^!,
7213,직구 해야겠네요 저는 LTE도 만족하는 사람이라ㅋㅋㅋ,
7214,통신사 끼고 바꾸지 말아야지 공기계사야겠네오,
7215,5g 통신망 구축도 제대로 안돼있고 사실상 인간이 체감하기에 큰 속도 차이도 없어서 고객들 피빨아먹으려고 어줍잖게 머리쓴게 보여서 괘씸함 아직 제대로된 안정화나 상용화도 안돼있는데 이렇게 막무가내로 굴건 뭐람,
7216,직구해야지ㅋㅋ,
7217,5g진짜  쓰지도못하는데,
7218,통신사 낄끼빠빠..,
7219,노어이... 역차별 아닌가요?,
7220,왜요 우리도 줘요,
7221,요금 너무 비싼데 이럴거면 기기만 따로 구해서 알뜰요금제쓰죠,
7222,아 왜 ⸌◦̈⃝⸍ʷʰʸˀ̣ˀ̣ˀ̣,
7223,옛날이랑 똑같은 짓 그대로 하네요.,
7224,통신사 상술 쩌네,
7225,헐 우와 공기계 사서 유심만 바꿔 끼우면 지금 요금제 그대로 쭉 쓸 수 있는 거였어요?,
7226,ㄹㅇ 갑질이네,
7227,5g 통신망이나 제대로 구축하고 그렇게 하지ㅋㅋㅋ 작년에 5g로 바꿨는데도 시골살아서 lte만 써요ㅋㅋㅋㅋ 요금은 5g인데ㅋㅋ,
7228,5g 요금제이면 뭐 해 5g가 안 뜨는데......,
7229,예?,
7230,아 진짜 싫다,
7231,5G폰사고 LTE써요 ㅎㅎ 망도 제대로 확대도 안 하고 배터리소모도 엄청 심하던데 굳이,
7232,5G 전 지역에서 터지게 해주는게 먼저 아닌가ㅋㅋ... 사봤자 지방은 5G 쓰지도 못하는데요,
7233,아쉽네요... 5G를 사용할 수 있는 환경도 아직 구축이 되지 않은 마당에 앞으로 출시되는 핸드폰들이 모두 5G 요금제를 이용해야 할 수도 있다는 게 ㅠㅠ,
7234,이제 통신사껴서 폰 안사요 일시불로 사고 알뜰폰 요금제 쓰는게 이득,
7235,"폰바꿔서 5g인데 지하철에선 무조건 lte그리고 솔직히 5g량 lte 속도차이도 모르겠,,걍 돈만 나가고ㅋㅋㅋㅋㅋㅋ섭스셉터에서 말하길자기들도 5g는 배터리 빨리닳는 등의 문제로lte로 바꿔놓고 쓴다곸ㅋㅋㅋㅋㅋㅋㅋ",
7236,5G는 문제 많고 이통사 갑질은 더 심해지는데 제도 같은 거 생겨야 할 것 같아요 통신사가 세 개라 거의 독점이랑 다를 게 없는데....,
7237,응 직구할게요ㅎㅎㅎ진짜 악질이다,
7238,아 이건 통신사가 잘못인거같은데....아직 제대로 구축된 것도 아니면서ㅜㅜ지방 사는 사람들은 어쩌라고요....,
7239,어차피 카메라 소리나는것도 짜증나고 직구할랍니다....,
7240,알뜰폰요금제 최곱니당 한달에 이만원도 안나가요~~!!무제한해도 3만원 안할껄요~~,
7241,애플이 안내주는거 아니고 이통사에서 갑질하는건데 왜 야기서 애플 욕하는 분들이 있는지 모르겠네요,
7242,지방은 5g 터지는 곳도 적은데 저게 뭔... 인프라를 먼저 구축 싹 해놓고 저러든가 이통사들 갑질 진짜,
7243,"요금제 비싸다고요.... 선택지를 줘야지ㅠ 아 직구하기 귀찮아라,,,",
7244,촌구석이라 5g폰 사도 좀만 이동하면 안 터지는데요... 애플 스토어에서 기기만 사는 것도 그럼 lte 안 되는 건가요...?,
7245,5G를 제대로 다 깔아주든가... 5G요금제 쓰는데 내 폰은 항상 LTE야...,
7246,으휴 속보인다 속보여,
7247,통신사 갑질.. 휴,
7248,예..? 서비스망이 정착하지도 않고 무조건 기기만 공급하면 무슨 소용인거죠???,
7249,아직 5g 잘 안되지 않나요,
7250,애플 잘못 아니고요ㅠ 얼마전에 핸드폰 바꾸려고 대리점 가보니까 앞으로 개통하는 모든 최신 스마트폰은 5G로 개통해야된다고 하더라고요ㅋㅋ 5G가 더 비싸면서 이게 뭔 말인가 했죠ㅋㅋ 그렇다고 어느곳에서나 빠른 것도 아니고 누가 5G로 바꾸고 싶겠냐고요...,
7251,그러면 공기계 사서 지금 쓰고 있는 유심 넣어서 쓰는 건 가능 한가요?,
7252,뒤지고 싶나요,
7253,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뻘하게 터졌네옄ㅋㅋㅋㅋㅋㅋㅋㅋ,
7254,zzzzzㅋㅋㅋㅋㅋㅋㅋ아,
7255,이것도 갑질아닌가요... 아직 5g도 제대로 못해주면서...,
7256,언제부터 통신사 말 다 들어줬다고 ㅠㅠ,
7257,5G가 LTE보다 좋은 거 아니에요? 그래봤자 핸드폰 요즘 10만 원 내외로 맞춰서 쓸 것 같긴 한데 무제한 못 잃어... ㅜㅜ,
7258,진짜 양아치...아니 5g망을 제대로 다 깔고 팔던가요..ㅋㅋㅋㅋㅋ장난치나 지방에서는 터지지도 않는데,
7259,22ㅠㅠㅜㅜㅜ,
7260,직구할래요,
7261,와ㅋㅋㅋㅋㅋㅋ한국 소비자를 호구로 보네..,
7262,안더ㅐ요 10월말고 2개월만 늦춰주세요 아직 노트10 할부 안끝낫단말이에요 (땡깡,
7263,"장난 똥때리나... 아 아이폰 12한 이유가 없나,,,,",
7264,에휴,
7265,근데저만요즘 유플러스 4G도 안돼요ㅠㅠ?아이폰8입니당,
7266,저두요ㅠㅠㅠㅠㅠ,
7267,저두요 ㅜㅜ8인데 느려졌음...,
7268,요즘 뭔가 속도 느려졌어요ㅠㅠ,
7269,헐 저도요ㅜㅠ8인데 느려요,
7270,헐 저도 유플인데 느려졌어요ㅠㅠ,
7271,지방은 그럼 어쩌란겨,
7272,아 왜요ㅠㅠ우리회사에서 5G안터진다고요ㅠㅠㅠㅠㅠㅠ하ㅠㅠㅠㅠ,
7273,5G 망이 전국에 다 제대로 보급된 것도 아니면서 적당히 해야지 돈 벌어 보겠다고 자국민을 정말 봉으로 보네요,
7274,"아이폰11 살까 그냥,,",
7275,노트8 바꾸고싶었는데 5G 안정되기전까지는 버텨야지,
7276,kt가세요 ㅇ무기간끝나면 lte요금제 사용가능,
7277,오 진짜용????? 그나마 다핼,
7278,"아 진짜요,?????",
7279,이건 상술도 아니고 그냥 양아치짓 아닌가? ㅋㅋ 아이폰 12 존 버중이었는데 이게 뭐람 짜증난다,
7280,❗️이통사 의견❗️ 이미 한국에서 4g 모델 안 내면 그건 이통사 입김이 클거라고 예상 많이 했었어용 요금제야 5g 모델 사서 4g 유심 끼워서 쓰면 된다지만 문제는 기기 가격이 다르니ㅠ,
7281,아이폰 12 기다렸는데 아이폰11살까 그냥...,
7282,그럼 엘티이 모델도 새로 따로 내주든가요 엘티이 선택지 있으면 아이폰 쓸 건데... 마지막 모델이 노트 9인게 정상인가요? 5g통신요금 진짜 덤태기 같은데 아무리 장사꾼이라고 해도 저렇게 속보이면 거부감 들어요,
7283,진짜 통신사들 5G로 억지부리는거 너무 싫어요 아이폰 자급제로 사서 4g 요금제 쓰는 사람들 많이 나올거 같네요,
7284,근데 그러면 대리점에서 12사고 개통 안한다음에기존 아이폰에서 쓰던 유심 뽑아서 끼면 되는건가요?,
7285,5G 수도권에선 전혀 안 끊기고 잘 터지나요?,
7286,아녀 일상입니다 서울에서도요,
7287,"통신사에서는 5G 폰으로 LTE 요금제 사용 불가능하다고 하던데,LTE 요금제 사용하시는 분들은 뭐죵...?",
7288,그분들은 가입을 하신게 아니라 기계만 사신분들이에오!!,
7289,"저도 기계만 사려고 문의했더니, LTE 요금제 사용이 불가능하다고 하더라구요 ㅠㅠ",
7290,아마 메뉴얼 상으로는 안된다고 하는거 같아요,
7291,음 유심기변으로만 사용할수있을거에요!! Lte 유심으로 5g단말기로 확정기변이 안될거거든요만약에 5g폰 엘티이로 쓰고싶으시면 기존이 쓰던 엘티이 유심 꼽고 유심기변으로사용하시면되옹,
7292,kt는 가능해요다른통신사는 안되는걸ㄹ 알아요,
7293,SKT도 됩니다. LTE 공폰이 필요하지만요,
7294,아,
7295,5g 제대로 갖춰지지도 않았으면서 소비자 돈만 받아먹으려고... 직구해야겠네요~,
7296,애플안씁니다이제 ㅋㅋ 5g제대로 작동도안되면서 요금비싸게받아먹는 ㅋㅋㅋㅋㅋㅋ한국이 호구로 보이나보네요,
7297,) 이동통신사들 의견을 반영한거라고하네용!,
7298,제목에는 아이폰만 나와 있지만 본문 내용보면 삼성 애플 엘지 셋 다 한국에선 5g 기기만 출시한대여 그리고 한국에서는 이통사 의견이 쎄대요,
7299,애플이아니라 한국 통신사들이 돈독에 눈 멀은것.. 얘네가 노답입니다,
7300,으휴;진짜 이동통신사 속 보인다 속 보여,
7301,어휴 담엔 갤럭시로 가야겠네요,
7302,삼성도 프리미엄 모델은 다 5g만 내나봐요ㅜㅜ,
7303,삼성은 이통사의 의견을 이미 반영해서 플래그쉽은 전부다 5g인데 애플이 4g내면 경쟁이 안되서 당연하다고 생각해요,
